mode,connections,successful_repeats,failed_repeats,pilot_tps,pilot_expected_transactions,median_actual_transactions,short_median_tps,sustained_median_tps,change_percent,min_tps,max_tps,min_elapsed_seconds,max_elapsed_seconds,max_drain_seconds,first_window_median_api_started_tps,last_window_median_api_started_tps,last_vs_first_percent,max_window_api_overrun_seconds,min_jain_fairness,min_worker_transactions
ecto,40,3,0,106996.02223923351,6419762,6448345,107038.37286669175,107471.9013818883,0.4050215857975381,107164.71039355238,107780.75822643183,60.000245929,60.000367438,7.09e-07,107685.7,107590.5,-0.0884054243042498,0.0007303479999976048,0.999999043485477,160497
epgsql,40,3,0,136492.19097534817,8189532,8217193,138028.16985635203,136946.6852387358,-0.7835245651244493,136571.0109848495,137303.98442347563,60.002861593,60.004201878,1.6e-06,137423.7,136850.8,-0.41688587921880904,0.004200808000000222,0.9999993465105931,204620
epgsql_batch,40,3,0,258589.638969592,15515379,15445906,257560.4684170417,257428.15172755558,-0.05137305825669847,257423.52769391806,258537.81280979642,60.000747167,60.000842551,1.09e-06,258122.5,256659.4,-0.566823891756818,0.0008419309999965208,0.99999924685909,385355
no_io,10,3,0,393163.4160497589,23589805,23701063,395888.98265960213,395016.7654136267,-0.2203186459284301,394736.13326258125,396599.66239473305,60.000126718,60.000144488,3.6e-07,394812.3,395124.0,0.07894890812671918,0.0006781180000032805,0.9999930849750368,588608
postgrex,40,3,0,114767.57674019282,6886055,6945858,115278.16300571155,115763.7549726652,0.4212349974119567,115578.52428986494,116002.881753259,60.00022965,60.000282486,9.4e-07,115743.3,115879.2,0.11741500371942326,0.0005739870000027736,0.9999992536691594,173024
postgrex_held,40,3,0,143072.20149765114,8584333,8669239,142685.63957604842,144486.82151273746,1.2623428272394932,144234.85279285867,148247.37858021003,60.000205619,60.000271743,7.9e-07,145499.9,144091.9,-0.9676982595864358,0.0004584170000008214,0.9999927856883918,215045
sql,10,3,0,455395.06406130234,27323704,28214661,479358.6196451554,463294.0413536896,-3.3512651349333344,455769.6910171891,466218.0337362088,60.526112158,60.900116301,0.00017635,515735.2,447078.3,-13.312432426563092,50.899938431,0.2247863837330352,1
